CSRA,1537499987968
MLIA,1534679973888
INDR,1531182972928
MAIN,1516738314240
POLI,1507894886400
ACST,1484713361408
PTSN,1477387616256
JKON,1467766800384
MKTR,1459311869952
AMFG,1453900038144
TRIN,1446234292224
DMMX,1444627611648
DLTA,1429176451072
TEBE,1426349883392
CFIN,1418489233408
HERO,1405701062656
KKGI,1364532133888
ITMA,1363707559936
ATIC,1360274784256
WOOD,1353014706176
CARS,1350000050176
PSAT,1348941250560
RAAM,1342283186176
KBLI,1330402033664
BSBK,1329869750272
TRGU,1326883930112
NRCA,1323016912896
CEKA,1320899969024
GMTD,1304763301888
BLOG,1277446193152
STAR,1276800139264
TRST,1274831962112
IPTV,1265938464768
SIPD,1259784896512
ADHI,1252733747200
SKLT,1247607128064
LTLS,1244985425920
ASLI,1243749941248
GSMF,1238044770304
PTPP,1237068283904
DILD,1212804890624
TIFA,1193543598080
TALF,1184255574016
GDST,1164555059200
BEKS,1141149663232
VOKS,1122012758016
FORU,1116537618432
TCID,1105866653696
PANS,1099157471232
PPRE,1073548492800
BEST,1061204197376
ARTA,1054151081984
GWSA,1053102571520
ALKA,1050866679808
PTPW,1049434062848
PPRO,1048486412288
GRIA,1047352311808
ARII,1042500026368
BLUE,1032459976704
BUAH,1020000010240
LIVE,1019647098880
JIHD,1015461576704
BBRM,1009059364864
NFCX,1006866661376
CAMP,1006335033344
NICK,1006026752000
RODA,1005817495552
GZCO,1005660995584
PADI,1004083544064
BBLD,1003935629312
WMPP,1000246018048
AGAR,999999995904
SQMI,978868240384
BUDI,970115776512
VERN,962660990976
MINE,955757821952
AMAN,952880988160
BSML,952865914880
PDPP,942893170688
BOLA,941999980544
ADMG,941181501440
CITY,940502876160
SKBM,934255722496
WOMF,912148135936
TBMS,892636168192
FOLK,883733233664
GHON,882749997056
SPMA,874187259904
VIVA,872606334976
BAIK,868173152256
RSGK,864597770240
RELI,864000016384
TAMU,862499962880
JELI,860879978496
BLTA,855002251264
BELL,851066814464
SOSS,847837396992
RSCH,821499985920
RANC,813533495296
ASLC,803020341248
HGII,799499943936
GULA,797420027904
IKBI,795600027648
KSIX,795273461760
AMOR,790107848704
MITI,780109545472
